nsf_proposal_links_v0,lead_researcher,team,goodness_score
https://www.nsf.gov/pubs/2026/nsf26000/nsf26000.htm,Cody Mccall,"['Cody Mccall', 'Cory Pace', 'Elizabeth Bond', 'Nicole Johnson']",0.225
https://www.nsf.gov/pubs/2026/nsf26001/nsf26001.htm,Misty Mathis,"['Misty Mathis', 'Adrienne Richardson', 'James Mueller', 'James Garcia', 'Steven Anderson']",0.20833333333333334
https://www.nsf.gov/pubs/2026/nsf26002/nsf26002.htm,Kathy Hudson,"['Kathy Hudson', 'Jessica Pollard']",0.2375
https://www.nsf.gov/pubs/2026/nsf26003/nsf26003.htm,Crystal Goodman,"['Crystal Goodman', 'John Hood']",0.05
https://www.nsf.gov/pubs/2026/nsf26004/nsf26004.htm,William Hogan,"['William Hogan', 'Joshua Beasley', 'Kristy Patrick', 'Amanda Wagner']",0.38125
https://www.nsf.gov/pubs/2026/nsf26005/nsf26005.htm,Donna Mckenzie,"['Donna Mckenzie', 'Danielle Rodriguez PhD']",0.3
https://www.nsf.gov/pubs/2026/nsf26006/nsf26006.htm,James Neal,"['James Neal', 'Teresa Clark', 'John Anderson']",0.075
https://www.nsf.gov/pubs/2026/nsf26007/nsf26007.htm,Isaac Lee,"['Isaac Lee', 'James Dickerson', 'Jessica Norton', 'Lauren Ortiz', 'Kimberly Hicks']",0.125
https://www.nsf.gov/pubs/2026/nsf26008/nsf26008.htm,Jaime Baker,"['Jaime Baker', 'Cindy Brown']",0.2375
https://www.nsf.gov/pubs/2026/nsf26009/nsf26009.htm,James Armstrong,"['James Armstrong', 'Laurie Johnson', 'Melissa Reynolds', 'Elizabeth Gonzalez', 'Mrs. Karen Lambert DVM']",0.3125
https://www.nsf.gov/pubs/2026/nsf26010/nsf26010.htm,Gabriella Bailey,"['Gabriella Bailey', 'Laurie Johnson', 'Joan Benitez', 'Manuel Wilson']",0.35
https://www.nsf.gov/pubs/2026/nsf26011/nsf26011.htm,Matthew Davenport,"['Matthew Davenport', 'Jermaine Holder']",0.05
https://www.nsf.gov/pubs/2026/nsf26012/nsf26012.htm,Bethany Bartlett,"['Bethany Bartlett', 'Drew Bauer', 'David Jackson MD', 'Glenn Grimes']",0.2607142857142857
https://www.nsf.gov/pubs/2026/nsf26013/nsf26013.htm,Kristy Patrick,"['Kristy Patrick', 'James Mason', 'Jacob Stone', 'Tony Powell', 'Deanna Kim']",0.17857142857142858
https://www.nsf.gov/pubs/2026/nsf26014/nsf26014.htm,Meghan Black,"['Meghan Black', 'Christina Jones']",0.14375
https://www.nsf.gov/pubs/2026/nsf26015/nsf26015.htm,Aaron Cox,"['Aaron Cox', 'Samuel West', 'Kerri Lopez', 'Sherry James']",0.15357142857142858
https://www.nsf.gov/pubs/2026/nsf26016/nsf26016.htm,Crystal Tyler,"['Crystal Tyler', 'James Mueller']",0.2375
https://www.nsf.gov/pubs/2026/nsf26017/nsf26017.htm,Keith Hancock,"['Keith Hancock', 'Michael Schaefer']",0.175
https://www.nsf.gov/pubs/2026/nsf26018/nsf26018.htm,Gary Vang,"['Gary Vang', 'Amanda Grimes', 'Linda Lowery', 'Amanda Johnson', 'Richard Patterson']",0.28125
https://www.nsf.gov/pubs/2026/nsf26019/nsf26019.htm,David Mccarthy,"['David Mccarthy', 'Anna Simmons', 'Jillian Vargas', 'Deborah Gutierrez', 'Lori Rosario']",0.3125
https://www.nsf.gov/pubs/2026/nsf26020/nsf26020.htm,Jennifer Foster,"['Jennifer Foster', 'Diane Rodriguez', 'James Allen', 'Ashley Quinn']",0.35
https://www.nsf.gov/pubs/2026/nsf26021/nsf26021.htm,Robert Flores,"['Robert Flores', 'David Hayes', 'Brian Wheeler']",0.075
https://www.nsf.gov/pubs/2026/nsf26022/nsf26022.htm,Jesse Bradley,"['Jesse Bradley', 'Joseph Alexander', 'Mark Allen', 'Robert Davis', 'Richard Perez']",0.40625
https://www.nsf.gov/pubs/2026/nsf26023/nsf26023.htm,John Anderson MD,"['John Anderson MD', 'Michael Glass', 'Jorge Walker', 'Laura Castillo', 'Amy Butler']",0.23214285714285715
https://www.nsf.gov/pubs/2026/nsf26024/nsf26024.htm,Kathryn Lindsey,"['Kathryn Lindsey', 'Samantha Mcpherson', 'Joshua Freeman']",0.15000000000000002
https://www.nsf.gov/pubs/2026/nsf26025/nsf26025.htm,Eileen Wright,"['Eileen Wright', 'Andrew Meadows', 'Michael Dodson', 'William Ferrell', 'Carol Green']",0.41666666666666663
https://www.nsf.gov/pubs/2026/nsf26026/nsf26026.htm,Joseph Buckley,"['Joseph Buckley', 'Chelsea Henderson', 'Crystal Huerta', 'Eric Aguilar']",0.17500000000000002
https://www.nsf.gov/pubs/2026/nsf26027/nsf26027.htm,Laura Thomas,"['Laura Thomas', 'Susan Murphy']",0.2
https://www.nsf.gov/pubs/2026/nsf26028/nsf26028.htm,Brooke Anderson,"['Brooke Anderson', 'Maxwell Wilson', 'Travis Jensen', 'Heather Gonzales']",0.2875
https://www.nsf.gov/pubs/2026/nsf26029/nsf26029.htm,Gregory Leonard,"['Gregory Leonard', 'Emily Parrish']",0.1125
https://www.nsf.gov/pubs/2026/nsf26030/nsf26030.htm,Michael Miller,"['Michael Miller', 'Christina Lowe', 'James Smith', 'Christopher Reeves', 'Tyler Willis']",0.25
https://www.nsf.gov/pubs/2026/nsf26031/nsf26031.htm,Jessica Morris DVM,"['Jessica Morris DVM', 'Raymond Espinoza', 'Angela Daugherty']",0.25357142857142856
https://www.nsf.gov/pubs/2026/nsf26032/nsf26032.htm,Jeremy Carlson,"['Jeremy Carlson', 'Jordan Graham', 'John Wiggins']",0.075
https://www.nsf.gov/pubs/2026/nsf26033/nsf26033.htm,Julie Williams,"['Julie Williams', 'Sarah Wyatt', 'Paige Bolton']",0.24166666666666667
https://www.nsf.gov/pubs/2026/nsf26034/nsf26034.htm,Brian Harris,"['Brian Harris', 'Benjamin Lara', 'Heather Williams', 'Erik Krause IV']",0.3142857142857143
https://www.nsf.gov/pubs/2026/nsf26035/nsf26035.htm,Dean Rivera,"['Dean Rivera', 'Jacob Burnett', 'Jennifer Nguyen', 'Dennis Lewis']",0.25
https://www.nsf.gov/pubs/2026/nsf26036/nsf26036.htm,Joyce Dickson,"['Joyce Dickson', 'John Reid']",0.05
https://www.nsf.gov/pubs/2026/nsf26037/nsf26037.htm,Mary Hughes,"['Mary Hughes', 'Eric Aguilar', 'Brian Clark DVM', 'Brett Young', 'Kelly Douglas']",0.3125
https://www.nsf.gov/pubs/2026/nsf26038/nsf26038.htm,Adrian Johnson,"['Adrian Johnson', 'Manuel Norris', 'Stacey Maxwell']",0.1375
